,name,description
68,HollaEx,HollaEx is an open digital asset exchange built by cryptocurrency veterans and professionals for traders and businesses. Our mission is to bring open markets and trading in every corner of the world.
69,Bololex,"Launched in May 2020, Bololex exchange is a centralized crypto exchange platform with low fees, versatile funding options, and rigorous security standards. Various airdrops and giveaways, expanding list of trading pairs, 24/7 available customer support, and easy-navigating features are at the top of the exchange's advantages. Unlimited deposits and withdrawals, plus a non-mandatory KYC submission also fasten the trading processes. Earlier in July, Bololex also launched its own voting program with gamified features offering both big and newly-created projects get listed at Bololex."
70,Coin163,"Coin163 is a cryptocurrency exchange located in Vietnam. The most active trading pair on Coin163 exchange is ETH/BTC. Coin163 is delivering the most reliable, fast and powerful platform solution on the market.It is established in year 2019."
71,StellaSwap,
72,Light Exchange,
73,VitBlock,"VitBlock Exchange, founded in 2018 in Singapore, is a financial platform that makes it fast, safe, and convenient to buy and sell digital assets around the world. VitBlock is in a partnership with the No.1 exchange OKEx, who shares theirs 20 million users, liquidity and trading technology with VitBlock.

With proprietary Inverse Mining capability, VitBlock facilitates reducing token circulation by permanently locking-up trade transaction fees."
74,C-CEX,"C-CEX is a cryptocurrency exchange that supports over 260,000 members and more than 185 cryptocurrencies. The exchange also offers a merchant solution, API support, fiat trading, and more. C-CEX has been around the bitcoin community since 2015."
75,BitStorage,"BitStorage Finance is a cryptocurrency exchange created with the goal of making cryptocurrency trading easier and more reliable. The BITStorage Finance is connected to most popular and recognized by internet community Payeer payment service, which made its reputation as reliable and stable electronic payment service for long years. helping to foster a closer integration between crypto and fiat currencies."
76,OVEX,0
77,EurekaX,"It is the worlds highest liquidity crypto Exchange. By integrating multiple orderbooks, we are able to bring together many of the biggest and best exchanges into one hub, creating a far simpler yet effective trading experience. Supporting all this is the EurekaX centralised exchange featuring the highest liquidity exchange by linking our order book with those of the top exchanges including Binance and OKEx."
78,CEX,
79,BTC6X Exchange,"Founded in 2021 BTC6X Exchange is known as the exchange of high performance and mega transaction matching technology. The team at BTC6X exchange are some of the first movers and pioneers of financial and Blockchain technology. Currently, BTC6X exchange caters to more than 70 countries around the world and we have just started. This magnificent achievement is a significant milestone, and BTC6X exchange aims to become the go-to platform for new traders and experienced investors as they move forward in their financial journey.
BTC6X exchange is present across continents obtaining key licenses and passing jurisdictions in countries. BTC6X exchange also offers localized language support for investors from different countries making it easier for them to trade. This exchange provides a state-of-the-art, high-performance trading engine which has been developed by experts from banking industry and is capable of completing 1.4 million transactions per second, which results in ground breaking efficiency and enhanced performance. User security is of top priority at BTC6X exchange because of which our servers are hosted independently across multiple countries ensuring optimal data integrity and security."
80,UniDAX,"UniDAX is a digital asset exchange that launched on March 2018. Their team be in Hong Kong and Singapore, and we provide professional services to users around the globe."
81,ArowEx,"ArowEx cryptocurrency exchange provides secure exchange, allowing customers to easily exchange cryptocurrencies."
82,Poloni DEX,"Poloni DEX team is originated from the TRON community, with its operational entity in the Caymans and its team at Malta. The project strictly abides by local laws and regulations. Poloni DEX team believes that the TRON network will become the most popularized operating system in the blockchain field, and as a result, decentralized exchanges based on the TRON network will play an irreplaceable part in providing the infrastructure for developers and users on the network and promoting the growth of the entire network."
83,Amanpuri,Amanpuri Exchange is a DLT exchange with an up to 200x leverage trading platform and a spot transaction platform and its main services through order matching systems with customer assets protection in mind. We value the proetection of customers asset and we'll ensure utmost safety of customers asset.
84,EFC Global,Working to make an all-in-one digital exchange.
85,Buenbit,
86,United Exchange,"United Exchange has become a one-stop destination for the trading of digital assets as we provide trading in multiple currencies such as Bitcoin, Ethereum, Litecoin, Ripple and more, so any client of ours would not need to go through hundreds and thousands of other websites to compare and execute all their trading needs. The website which mostly acts as a gateway for the trading of digital assets also provides a safe space for the user to store their cryptocurrency, which are cold wallets- the most secure way to store cryptocurrencies. Cold wallets are the most secure way to store cryptocurrencies for the sole reason that they are inaccessible via the internet, i.e. it’s impossible to reach them through the internet as they are physical devices without any link to online systems. So, it would be virtually impossible to hack into the ‘cold wallets’ and thus the client’s funds are in literal safe hands. Unlike other exchanges, funds stored on United Exchange cannot be accessed in any way whatsoever by any third-party other than the clients and the exchange. To put it simple, United Exchange and the funds stored on it are hack-proof."
87,TerraSwap,"This is the first DEX on Terra blockchain.

Inspired by Uniswap, Terraswap creates automatic, decentralized markets for token pairs allowing users to exchange assets directly on-chain. Pairs can be created between native Terra assets (Luna, UST, KRT, etc.) and CW20 tokens (user-defined tokens). Terraswap will debut with the current four active Terra stablecoins against Luna, competing against Terra’s native on-chain atomic swap. These starting pairs will diversify on-chain liquidity and provide a more robust means to arbitrage that does not alter the supply of Terra and Luna, thereby enhancing the stability mechanism."
88,GokuMarket,"GokuMarket is a European-licensed and one of the best cryptocurrency exchanges, wallet & marketplace providers. The exchange has been active since 2019 and is widely used in the UK, France, Poland, Czech Republic, Sweden, Norway, Japan, Thailand, Vietnam, Nigeria, South Africa, Ecuador and Colombia as the primary market.

GokuMarket has Instant/Convert & Advanced trading categories as per the user’s convenience. Starting from beginners to seasoned traders, GokuMarket is easy to go along with the AI-based trading modules. The exchange has a lot of trading pairs and several other real world use cases with e-commerce shopping, staking, debit cards and more.

GokuMarket exchange is one of the few that enables users to purchase cryptocurrencies by using VISA & Mastercard. It also provides direct fiat deposits and withdrawals of EUR via SEPA to and from their GokuMarket Wallet via their bank accounts. Launched in 2020, GokuMarket Credit (GMC) is the Ultimate DeFi E-commerce Token, powered by both the Ethereum smart contract and the Binance Smart Chain (BSC) DeFi blockchains."
89,Btcix,Our Exchange is a Global Exchange and Soon We Will Establish Our Own Network With Swap System
90,X7 Exchange,"Trade with X7 Exchange. Buy and sell Cryptocurrency
FULL FEATURED EXCHANGE
Exchange that provides buying selling cryptocurrencies againt other fiat and cryptos.

KYC/AML COMPLIANCES
On X7 Exchange KYC and AML go hand-in-hand in helping to prevent fraud and other illicit activity.

BLOCKCHAIN AVAILABILITY
X7 Exchange is integrated with various blockchains to detect your deposits instantly.

NOT JUST TRADING
Invest in Deposits, ICO, Vote for coins, Earn from faucets, Referrals and many more."
91,KoinBX,"Launched in Sep 2020, KoinBX is a centralized exchange registered in India."
92,Bancor V3,
93,Krypterz,"Krypterz - Buy and sell cryptocurrencies and making trading more open and accessible globally in a secure environment. Our vision is to increase the freedom of money globally. We believe that by spreading this freedom, we can significantly improve lives around the world. Join us and start trading Bitcoin (BTC), Ethereum (ETH), Shiba Inu (SHIB), DOGE, Uniswap (UNI), Litecoin (LTC), BNB, Monero (XMR), Bitcoin Cash (BCH) and Ripple (XRP)."
94,Coinhub,CoinHub is Singapore based entry level cryptocurrency exchange (with an additional office in Dubai). CoinHub is an all new Digital Currency Exchange Hub that can be used to buy and sell crypto assets through the use of fiat currency.
95,Anycoin Direct,A Cryptocurrency broker / exchange established in 2013 and serving the whole of Europe since 2014.
96,Koinpark,"Koinpark Founded in 2023 - Global Bitcoin & Cryptocurrency Exchange that assists traders to buy, Sell & Trade Bitcoin (BTC), Ethereum (ETH), Tether (USDT), Ripple (XRP), and more cryptocurrencies. Our mission has always been to improve the trading experience for all crypto fans worldwide using a methodology that is more simple and more secure. We are dedicated to creating a highly safe, stable, and effective cryptocurrency exchange for users everywhere, and we do this with the help of our unique trade matching algorithm and first-rate user experience."
97,Tokenomy,"Tokenomy’s primary product is a crypto-to-crypto exchange. It will also offer a platform enabling the issue of tokens for crowdfunding, loyalty programs, donations or other needs as well as exchange and purchase. The team consists of 6 people and 14 advisors."
98,Cratex,
99,Exbitron,"Exbitron is centralized exchange, which is aiming to provide lowest fees as possible. We are mostly specializing in altcoins."
100,Vinex,
101,Raydium,
102,The Rock Trading,"The Rock Trading: the longest running cryptocurrency exchange, since June 2011.
We are an Italian company that allows everyone to buy and sell bitcoin and all the major cryptocurrencies easily and safely.
We focus on security and the customer care, thanks to our support team available in multiple languages both via ticket and telegram chat.
The Rock Trading offers several ways to trade cryptocurrencies and fiat: a professional trading platform, the OTC desk, an accumulation plan and Fastlane, the easiest way to exchange crypto and fiat, just in 3 clicks."
103,Tidebit,"TideBit is a Hong Kong-based crypto exchange, where users from certain countries (Hong Kong, China, Taiwan) can buy or sell Bitcoin, Ethereum and Antshares against Hong Kong or US dollars."
104,Qryptos,
105,SushiSwap,
106,Uniswap V3 (Arbitrum One),
107,BarterDEX,
108,Bittilo,"Bittilo is a digital asset trading platform for the most popular cryptocurrencies.
We focus on providing the highest level of security, transparency and customer service."
109,Bitvast,"Bitvast is an international cryptocurrency exchange with trading pairs against BTC, USDC and TUSD. The Bitvast platform uses a unique liquidity pool to offer its users the deepest possible orderbooks. The company is headquartered and registered in South Africa."
110,Tux Exchange,Tux Exchange is a Canadian cryptocurrency exchange that launched in August 2016. Tux Exchange does not work with fiat currencies and does not offer trading with them. Tux is not regulated. There are no specific regulation requirements for cryptocurrency exchanges on a national level in Canada.
111,Coinone,"Coinone has been around since 2014. Coinone accepts fiat currency deposits, via bank transfer. That being said, only Korean bank accounts can be registered with this exchange."
112,Altcoin Trader,
113,RightBTC,"Founded in 2014, RightBTC is a cryptocurrency exchange with advanced order types and 24/7 customer support. The exchange can be used on a desktop or on mobile with dedicated iOS and Android apps. RightBTC regularly adds support for new assets which meet listing criteria, and new trading products like the Leveraged ETF."
114,Deepcoin,"Deepcoin Exchange offers groundbreaking tools for you to buy and sell over 120 cryptocurrencies. Since 2018, we have provided a secure and reliable way for you to invest in spot and futures trading to our over 1 million users. Trade up to 125x leverage and earn up to 12% Super Savings interest daily. List your project/coin with us for an amazing ICO/IDO launch!"
115,TimeX,"TimeX, a Plasma-based hybrid cryptocurrency exchange, combines the speed and privacy of a centralised system with the security and transparency of a decentralised solution."
116,Exmo,"Exmo is a cryptocurrency exchange based in the UK and founded in 2013. According to its own site, for the company work developers from Spain, Russia, India and Thailand, in partnership with financial advisors from Great Britain, USA, Lithuania and Singapore."
117,Tokenjar,"Decentralized, transactions happening direct from wallet to wallet, with deposits. No KYC requirement."
118,Aphelion,0
119,BYDFi,
120,CashPayz Exchange,"CashPayz is the place to trade cryptocurrencies. CashPayz’s app for iOS and Android allows users to buy and sell cryptocurrencies and track prices. It’s also a capable wallet for your money, and when it’s time to spend, CashPayz will help you find merchants who accept cryptocurrencies as payment."
121,ZigZag,"ZigZag is a decentralized non-custodial order book exchange, powered by zk-rollups. This allows our users to seamlessly and securely trade with near-zero fees all while providing centralized exchange like quotes on all size trades. We also aim to provide the flawless functionality, experience and optimal liquidity centralized exchanges do all while being fully decentralized."
122,SMBSwap,"Discover SMBSwap, the fastest growing DEX on BNB Smart Chain (BSC) with the best SELF farms and Made pools in DeFi."
123,Deepcoin Derivative,"Deepcoin Exchange offers groundbreaking tools for you to buy and sell over 120 cryptocurrencies. Since 2018, we have provided a secure and reliable way for you to invest in spot and futures trading to our over 1 million users. Trade up to 125x leverage and earn up to 12% Super Savings interest daily. List your project/coin with us for an amazing ICO/IDO launch!"
124,SMDEX,"SMDEX is a global crypto-to-crypto exchange that offers a high-tech crypto asset trading platform to users all over the world. SMDEX allows users to trade on the web, Android and IOS"
125,ZBG,ZBG is a Chinese cryptocurrency exchange. It launched in July 2018. It is actually a sub-platform of the much larger exchange ZB.com.
126,BitKop,"The BitKop cryptocurrency exchange has over 200,000 registered users. Out of these, 40% use the platform’s native digital currency, KOP coin. The BitKop project understands that security in the blockchain sector requires the efforts of all stakeholders. To this end, the platform strives to ensure that it only admits genuine participants to its ecosystems."
127,Crypto-Services,
128,Ionomy Exchange,"Launched in Oct 2018, Ionomy is a centralized exchange registered in Seychelles. It features major cryptocurrencies, masternode coins, and permissionless gaming tokens built on the ION blockchain. Ionomy Exchange integrates with HaasBot automated trading tools."
129,DeversiFi,"DeversiFi gives traders ​the edge​ in fast-moving decentralised finance (DeFi) markets by allowing them to ​trade at lightning speed​ and ​with deep aggregated liquidity​, directly from their privately owned cryptocurrency wallet. DeversiFi was built with serious traders in mind and is a high-speed, self-custodial exchange allowing for 9,000+ tps and privacy-by-default, meaning traders can enjoy a speed and security advantage without sacrificing any of the corner-stones of profitable trading. With the exchange's native Nectar (NEC) token, DeversiFi traders can enjoy fee discounts of up 20% and membership in Nectar DAO (controlling 17,000 ETH)."
130,CoinField,"CoinField is a fully regulated European based cryptocurrency exchange operating in 193 countries from all corners of the globe. It is rapidly growing with over 200,000+ users with 6 fiat deposit + withdrawal options and over 20+ cryptos to trade. CoinField is also developing a project called Sologenic which will allow it's users to trade over 30,000 tokenized stocks and ETFs."
131,CGCX,World's First Fully Insured Hybrid Crypto Platform.
132,Chiliz,
133,UMCSWAP,
134,LGO,"LGO exchange is a platform based on a new decentralized blockchain protocol that provides full transparency for users preventing any kind of manipulation in this way. It employs a hybrid model of exchange designed to combine the features of centralized and decentralized architectures thus using the best features of them both. They include, for instance, such benefits as fiat support, good authentication, simplicity, transparency, and fairness. The system of this kind merges the standards of traditional markets with the potential delivered by blockchain and cryptography. LGO assures that it is the number one Bitcoin exchange in France and number two in Europe by daily trading volume."
135,Mercado Bitcoin,"Founded in 2017, Mercado Bitcoin is one of the leaders in the Brazilian cryptocurrency space. The company accepts Real (BRL) deposits and facilitates trading in a few of the most popular coins."
